G1 T0=1001860 T1=998140
G322 T0=1503160 T1=496840
G323 T0=1493400 T1=506600
G324 T0=500200 T1=1499800
G325 T0=503260 T1=1496740
G326 T0=497660 T1=1502340
G327 T0=501820 T1=1498180
G328 T0=498620 T1=1501380
G329 T0=502940 T1=1497060
G330 T0=504120 T1=1495880
G331 T0=500480 T1=1499520
G332 T0=1502800 T1=497200
G333 T0=1498480 T1=501520
G334 T0=1501520 T1=498480
G335 T0=1501140 T1=498860
G336 T0=1498180 T1=501820
G337 T0=1506040 T1=493960
G338 T0=1500420 T1=499580
G339 T0=1498420 T1=501580
G340 T0=1494200 T1=505800
G341 T0=1499780 T1=500220
G342 T0=1871900 T1=128100
G343 T0=248860 T1=1751140
G344 T0=111440 T1=1888560
G345 T0=250720 T1=1749280
G346 T0=250720 T1=1749280
G347 T0=1870620 T1=129380
G348 T0=1992180 T1=7820
G349 T0=32420 T1=1967580
G350 T0=15060 T1=1984940
G351 T0=252580 T1=1747420
G352 T0=250760 T1=1749240
G353 T0=251300 T1=1748700
G354 T0=250840 T1=1749160
G355 T0=748760 T1=1251240
G356 T0=1247620 T1=752380
G357 T0=1001000 T1=999000
G360 T0=1001540 T1=998460
G363 T0=998940 T1=1001060
G366 T0=997960 T1=1002040
G369 T0=997920 T1=1002080
G375 T0=1003440 T1=996560
G376 T0=996540 T1=1003460
G379 T0=1000520 T1=999480
G382 T0=998440 T1=1001560
G385 T0=995400 T1=1004600
G388 T0=15280 T1=1984720
G389 T0=1749280 T1=250720
G395 T0=1749280 T1=250720
G396 T0=1996240 T1=3760
G397 T0=1967580 T1=32420
G398 T0=1984940 T1=15060
G399 T0=1251240 T1=748760
G400 T0=999000 T1=1001000
G401 T0=998460 T1=1001540
G402 T0=1499700 T1=500300
G403 T0=1001060 T1=998940
G404 T0=1002040 T1=997960
G405 T0=1500180 T1=499820
G406 T0=113220 T1=1886780
G407 T0=1003460 T1=996540
G408 T0=999480 T1=1000520
G409 T0=1496920 T1=503080
G410 T0=1001560 T1=998440
G411 T0=1004600 T1=995400
G412 T0=1497980 T1=502020
G413 T0=1498500 T1=501500
G414 T0=3760 T1=1996240
G415 T0=1497160 T1=502840
G416 T0=1503280 T1=496720
G417 T0=1906960 T1=93040
G422 T0=1983640 T1=16360
G427 T0=16160 T1=1983840
G432 T0=31820 T1=1968180
G433 T0=95460 T1=1904540
G434 T0=1499860 T1=500140
G435 T0=1504140 T1=495860
G436 T0=1996240 T1=3760
G445 T0=1003140 T1=996860
G448 T0=996540 T1=1003460
G451 T0=1863000 T1=137000
G460 T0=1953580 T1=46420
G461 T0=1991780 T1=8220
G462 T0=1954360 T1=45640
G463 T0=1991780 T1=8220
G464 T0=1954340 T1=45660
G465 T0=1991780 T1=8220
G466 T0=1952940 T1=47060
G467 T0=1991780 T1=8220
G468 T0=902680 T1=1097320
G473 T0=8280 T1=1991720
G474 T0=8280 T1=1991720
G475 T0=8280 T1=1991720
G476 T0=8280 T1=1991720
G477 T0=1003220 T1=996780
G480 T0=997880 T1=1002120
G483 T0=499220 T1=1500780
G484 T0=498960 T1=1501040
G485 T0=500880 T1=1499120
G486 T0=495980 T1=1504020
G487 T0=1929980 T1=70020
G488 T0=53180 T1=1946820
G489 T0=1933000 T1=67000
G490 T0=52340 T1=1947660
G491 T0=1931820 T1=68180
G492 T0=52260 T1=1947740
G493 T0=1932040 T1=67960
G494 T0=53680 T1=1946320
G495 T0=1451800 T1=548200
G496 T0=1930380 T1=69620
G497 T0=1450920 T1=549080
G498 T0=1931320 T1=68680
G499 T0=1449820 T1=550180
G500 T0=1931120 T1=68880
G501 T0=1451020 T1=548980
G502 T0=1931900 T1=68100
G503 T0=501820 T1=1498180
G504 T0=501640 T1=1498360
G505 T0=499440 T1=1500560
G506 T0=498560 T1=1501440
G507 T0=1998140 T1=1860
G508 T0=1998060 T1=1940
G509 T0=1998400 T1=1600
G510 T0=1998160 T1=1840
G511 T0=1997960 T1=2040
G512 T0=1700 T1=1998300
G513 T0=1760 T1=1998240
G514 T0=1980 T1=1998020
G515 T0=1001820 T1=998180
G518 T0=1003140 T1=996860
G521 T0=540380 T1=1459620
G522 T0=534180 T1=1465820
G523 T0=541440 T1=1458560
G524 T0=554180 T1=1445820
G525 T0=606500 T1=1393500
G526 T0=607380 T1=1392620
G527 T0=608120 T1=1391880
G528 T0=606100 T1=1393900
G529 T0=996540 T1=1003460
G532 T0=1002000 T1=998000
G535 T0=998180 T1=1001820
G536 T0=996860 T1=1003140
G537 T0=1502360 T1=497640
G538 T0=1423280 T1=576720
G542 T0=1442360 T1=557640
G546 T0=1424840 T1=575160
G550 T0=1410280 T1=589720
G554 T0=1387480 T1=612520
G558 T0=1386660 T1=613340
G562 T0=1386220 T1=613780
G566 T0=1388120 T1=611880
G570 T0=1003460 T1=996540
G571 T0=998000 T1=1002000
G572 T0=1499980 T1=500020
G573 T0=1497400 T1=502600
G574 T0=1501440 T1=498560
G575 T0=285080 T1=1714920
G578 T0=710400 T1=1289600
G581 T0=1709020 T1=290980
G582 T0=278740 T1=1721260
G585 T0=722120 T1=1277880
G590 T0=1722640 T1=277360
G591 T0=284920 T1=1715080
G594 T0=714980 T1=1285020
G600 T0=1713520 T1=286480
G601 T0=294880 T1=1705120
G604 T0=704100 T1=1295900
G609 T0=1703580 T1=296420
G610 T0=305140 T1=1694860
G613 T0=692900 T1=1307100
G616 T0=1694460 T1=305540
G617 T0=304860 T1=1695140
G620 T0=695560 T1=1304440
G625 T0=1693500 T1=306500
G626 T0=303660 T1=1696340
G629 T0=688980 T1=1311020
G635 T0=1693320 T1=306680
G636 T0=305240 T1=1694760
G639 T0=690620 T1=1309380
G644 T0=1693500 T1=306500
G645 T0=1000240 T1=999760
G646 T0=998580 T1=1001420
G647 T0=1714920 T1=285080
G650 T0=995480 T1=1004520
G654 T0=292160 T1=1707840
G655 T0=1721260 T1=278740
G658 T0=1000860 T1=999140
G662 T0=278920 T1=1721080
G663 T0=1715080 T1=284920
G667 T0=999900 T1=1000100
G671 T0=287820 T1=1712180
G672 T0=1705120 T1=294880
G677 T0=998980 T1=1001020
G681 T0=297800 T1=1702200
G682 T0=1694860 T1=305140
G685 T0=998040 T1=1001960
G689 T0=307400 T1=1692600
G690 T0=1695140 T1=304860
G693 T0=1000420 T1=999580
G697 T0=724160 T1=1275840
G698 T0=1696340 T1=303660
G702 T0=992640 T1=1007360
G706 T0=730340 T1=1269660
G707 T0=1694760 T1=305240
G712 T0=995860 T1=1004140
G716 T0=729060 T1=1270940
G717 T0=652800 T1=1347200
G718 T0=446360 T1=1553640
G719 T0=314680 T1=1685320
G720 T0=285080 T1=1714920
G721 T0=1499920 T1=500080
G722 T0=1859500 T1=140500
G723 T0=278740 T1=1721260
G724 T0=1502580 T1=497420
G725 T0=1862800 T1=137200
G726 T0=284920 T1=1715080
G727 T0=1504300 T1=495700
G728 T0=1859420 T1=140580
G729 T0=294880 T1=1705120
G730 T0=1500260 T1=499740
G731 T0=1855420 T1=144580
G732 T0=305140 T1=1694860
G733 T0=1501620 T1=498380
G734 T0=1847780 T1=152220
G735 T0=304860 T1=1695140
G736 T0=1503900 T1=496100
G737 T0=1848380 T1=151620
G738 T0=303660 T1=1696340
G739 T0=1500480 T1=499520
G740 T0=1848920 T1=151080
G741 T0=305240 T1=1694760
G742 T0=1503100 T1=496900
G743 T0=1498120 T1=501880
G744 T0=1500480 T1=499520
G745 T0=1848080 T1=151920
G746 T0=233880 T1=1766120
G747 T0=229940 T1=1770060
G748 T0=176940 T1=1823060
G749 T0=225800 T1=1774200
G750 T0=218060 T1=1781940
G751 T0=175480 T1=1824520
G752 T0=640580 T1=1359420
G753 T0=634620 T1=1365380
G754 T0=636280 T1=1363720
G755 T0=644320 T1=1355680
G756 T0=1337280 T1=662720
G760 T0=650600 T1=1349400
G761 T0=1288140 T1=711860
G764 T0=647720 T1=1352280
G765 T0=1192880 T1=807120
G768 T0=650600 T1=1349400
G769 T0=998780 T1=1001220
G770 T0=651440 T1=1348560
G771 T0=1331500 T1=668500
G772 T0=1666820 T1=333180
G773 T0=1353580 T1=646420
G774 T0=1642140 T1=357860
G775 T0=1406280 T1=593720
G776 T0=1591800 T1=408200
G777 T0=1498120 T1=501880
G778 T0=492080 T1=1507920
G779 T0=1361680 T1=638320
G785 T0=1001680 T1=998320
G786 T0=1004280 T1=995720
G787 T0=1001920 T1=998080
G788 T0=879820 T1=1120180
G789 T0=1322700 T1=677300
G790 T0=1683360 T1=316640
G791 T0=1500300 T1=499700
G792 T0=1506400 T1=493600
G793 T0=1501460 T1=498540
G794 T0=501900 T1=1498100
G795 T0=420900 T1=1579100
G796 T0=293420 T1=1706580
G797 T0=216940 T1=1783060
G798 T0=1424720 T1=575280
G802 T0=1409700 T1=590300
G805 T0=1388480 T1=611520
G808 T0=993940 T1=1006060
G809 T0=873840 T1=1126160
G810 T0=870340 T1=1129660
G811 T0=874680 T1=1125320
G812 T0=1498100 T1=501900
G813 T0=1290900 T1=709100
G814 T0=1711100 T1=288900
G815 T0=1292900 T1=707100
G816 T0=1703460 T1=296540
G817 T0=1306240 T1=693760
G818 T0=1694620 T1=305380
G819 T0=1497540 T1=502460
G820 T0=706760 T1=1293240
G821 T0=530820 T1=1469180
G822 T0=518420 T1=1481580
G823 T0=501900 T1=1498100
G824 T0=435120 T1=1564880
G825 T0=998000 T1=1002000
G826 T0=1003640 T1=996360
G827 T0=999140 T1=1000860
G828 T0=874200 T1=1125800
G829 T0=1293240 T1=706760
G830 T0=1469180 T1=530820
G831 T0=1481580 T1=518420
G832 T0=573980 T1=1426020
G833 T0=1497420 T1=502580
G834 T0=1501300 T1=498700
G835 T0=1501600 T1=498400
G836 T0=705340 T1=1294660
G837 T0=706760 T1=1293240
G838 T0=530820 T1=1469180
G839 T0=518420 T1=1481580
G840 T0=1426020 T1=573980
G841 T0=876560 T1=1123440
G842 T0=873240 T1=1126760
G843 T0=874420 T1=1125580
G844 T0=1294660 T1=705340
G845 T0=720700 T1=1279300
G846 T0=732900 T1=1267100
G847 T0=721740 T1=1278260
G848 T0=705340 T1=1294660
G849 T0=1279300 T1=720700
G850 T0=1267100 T1=732900
G851 T0=1278260 T1=721740
G852 T0=720700 T1=1279300
G853 T0=732900 T1=1267100
G854 T0=721740 T1=1278260
